彖	彑 bj
皮	皮 rp
发	丶 si
艮	艮 ig
炙	火 vc
兼	䒑 hc
段	殳 ur
留	田 bq
聚	耳 qk
具	 qh
乒	丿 tt
彝	彑廾 bl
疏	⺪ to
丧	土 gt
岛	鸟山 xv
师	リ巾 pr
幺	幺 iy
彘	彑匕 bv
戢	口戈 dp
枭	鸟木 xe
隶	氺 bk
亦	亠 zc
壅	亠土 zg
帘	穴巾 er
方	方 lf
棠	木 se
毋	毋 ku
毌	毌 ku
母	母 km
璧	尸丶 ci
石	石 ms
窝	穴人 ej
骨	骨 fg
敢	乛攵 ah
见	见 ej
象	象 wx
乙	乙 ai
亟	了一 rf
余	人 jx
其	 zh
無	𠂉灬 ec
羔	⺷灬 gc
餮	歹食 gq
乔	丿 tp
卸	卩 az
庚	广人 xj
彧	弋彡 pe
戌	戊一 nf
截	十隹 nu
拜	龵丰 ua
爿	爿 ap
直	十一 nf
瞿	目隹 qu
裳	衣 st
雏	⺈隹 xu
丞	乛一 af
乓	丶 ti
互	一彑 fb
兀	一儿 fp
典	 ih
击	凵 um
卣	⺊コ yn
孓	了丶 ri
寿	寸 ak
巯	ス ro
帝	巾 ir
弗	弗 tf
彳	彳 wc
既	旡 id
日	日 or
曰	曰 or
月	月 vy
民	民 dm
目	目 qm
贸	贝 bo
鸟	鸟 xn
鸩	冖鸟 wx
黻	业丶 ci
丑	ヿ土 ag
世	廿㇗ la
乞	𠂉乙 ea
产	厂 ix
匆	勹丶 ni
卤	⺊乂 yb
卯	卯 bm
咸	戊口 nd
威	戊女 nb
帅	リ巾 pr
弈	亠廾 zl
彦	彡 ie
戊	戊 nu
戍	戊丶 ni
掌	手 su
攀	木手 eu
断	米斤 pt
暨	一 if
椓	木丶 ei
瀣	氵一 kf
爨	火 pc
牚	牙 sl
璺	丶 pi
盥	皿 pa
矛	予丿 it
糸	糸 is
羸	亡丶 fi
肃	肀八 bh
舆	 ph
舞	𠂉㐄 ev
衮	衣厶 tk
衰	衣一 tf
釜	八 hz
銮	亠金 zz
阜	丿十 tn
临	〢 po
充	儿 bp
兆	儿 pw
党	儿 sp
六	六 al
午	𠂉十 en
即	卩 iz
卿	卯艮 bi
句	句 gj
哥	可 zz
商	口 id
善	羊口 gd
噗	口㇏ di
坐	人土 jg
堂	土 sg
墣	土㇏ gi
壮	丬士 ag
复	𠂉夊 eh
夔	䒑夊 hh
奕	亠大 zm
奡	一 fp
妆	丬女 ab
娈	亠女 zb
孑	了㇀ rf
将	丬寸 ak
尸	尸 cs
巴	巴 mb
希	㐅巾 br
常	巾 sr
幞	巾㇏ ri
弋	弋 pi
录	氺 bk
敖	龶攵 ah
无	无 du
曌	日工 ou
栾	亠木 ze
桑	又木 re
榖	士殳 gr
毅	殳 ir
溯	氵月 kv
漦	未水 ak
状	丬犬 am
璞	王㇏ ni
番	丿田 tq
皱	⺈皮 xr
矢	矢 os
禀	亠示 zf
缶	缶 af
脔	亠人 zj
膏	⺝ gv
蔗	艹灬 lc
虢	爫虎 yz
蠃	亡丶 fi
言	言 sy
赤	土 gc
蹼	⻊㇏ pi
躐	⻊ pp
醭	酉㇏ yi
镳	钅灬 zc
隺	冖隹 wu
馨	士日 go
鬲	鬲 ng
鸾	亠鸟 zx
鼋	二黾 md
鼍	口黾 dd
举	⺍ ku
介	人 jp
养	⺶ gp
凫	鸟几 xo
夜	亠 zv
央	大 mm
手	手 us
斯	斤 zt
氘	气 vp
烕	戊火 nc
爒	小 vy
甚	㇗ za
穙	禾㇏ xi
赏	贝 so
释	丿 tu
飨	乡食 iq
鬣	镸 pp
鼎	目 qa
亘	一一 ff
以	人 vj
函	乛凵 am
印	卩 bz
坒	土 vg
基	土 zg
奏	大 am
妻	一女 fb
嶲	山 vm
惎	心 zh
愭	忄日 ho
春	日 ao
更	一 fb
曹	一曰 fo
期	月 zv
榰	木日 eo
毕	十 vn
毙	匕 vv
泰	氺 ak
滫	氵⺝ kv
瀌	氵灬 kc
眉	目 cq
秦	禾 ax
稙	禾一 xf
窥	穴见 ee
綦	糸 zi
羲	⺷戈 gp
翘	羽 pz
舂	臼 ap
衢	行隹 pu
观	又见 re
规	夫见 he
觅	爫见 ye
视	礻见 fe
觉	⺍见 ke
觊	山见 ve
邋	巛辶 ou
邦	阝 at
镤	钅㇏ zi
雀	𡭔隹 yu
雅	牙隹 lu
雎	且隹 fu
靓	龶见 ae
顷	页 vw
食	食 qs
飧	夕食 lq
餍	厂食 xq
饔	亠食 zq
鳍	鱼日 wo
齐	齐 qq
专	二丶 mi
值	亻一 jf
免	 wp
农	冖 wt
制	牛刂 qp
副	一刂 fp
北	匕 av
卑	白十 un
单	丷十 hn
叠	又且 rf
埴	土一 gf
宽	宀见 we
探	扌木 ue
擢	扌隹 uu
攉	扌隹 uu
曜	日隹 ou
植	木一 ef
殖	歹一 gf
殷	㐆殳 zr
澭	氵隹 ku
濉	氵隹 ku
濯	氵隹 ku
獾	犭隹 mu
癯	疒隹 au
矗	十一 nf
离	亠禸 zv
粛	肀米 bp
绛	纟㐄 iv
置	罒一 yf
罹	罒隹 yu
耀	光隹 mu
臃	月隹 vu
蕹	艹隹 lu
袅	鸟衣 xt
豕	豕 js
豸	豸 mi
趯	走隹 pu
躏	⻊隹 pu
隹	隹 ui
雄	𠂇隹 nu
鹿	鹿 xl
万	一 fp
上	⺊一 yf
下	一卜 fy
不	不 cb
丕	不一 cf
丘	一 tf
丸	九丶 ki
乃	乃 vn
久	㇏ xi
乡	乡 ix
书	ヿ丶 ai
乩	⺊乚 ya
了	了 rl
偎	亻 jt
冁	丷 ht
匝	匚巾 nr
匠	匚斤 nt
卡	⺊卜 yy
卧	臣卜 qy
卵	卵 bl
及	及 cj
叚	又 cr
喂	口 dt
墨	黑土 pg
嬥	女隹 bu
尢	尢 oy
尹	丿 bt
展	尸 ct
州	川 oo
巨	匚コ nn
幸	土 gg
弓	弓 bg
弼	弓弓 bb
我	丿戈 tp
所	斤 mt
承	乛三 at
掰	龵手 uu
搌	扌 ut
斠	斗 qj
斥	斤丶 ti
旅	方 lt
曲	曲 yq
柬	束丷 xh
氐	氏丶 bi
灈	氵隹 ku
焘	灬 ac
煨	火 ct
爟	火隹 cu
片	片 ap
猥	犭 mt
畏	田 qt
碨	石 mt
碾	石 mt
穰	禾一 xf
粤	丿ㄅ ta
粥	弓弓 bb
聘	耳ㄅ qa
聿	聿 bv
肆	镸聿 pb
胤	儿月 pv
臣	臣 qc
览	〢见 pe
豆	豆 zd
辗	 yt
辰	辰 fc
隈	阝 tt
髦	镸毛 pv
鬟	镸 pt
鬻	弓鬲 bn
鳂	鱼 wt
黄	黄 nh
黑	黑 ph
黼	业甫 cn
丛	人一 jf
丢	丿厶 tk
严	一厂 fx
个	人丨 jg
丫	丷丨 hg
中	口丨 dg
串	口丨 dg
乂	乂 bi
义	丶乂 ib
乐	小 by
买	乛大 am
乳	爫乚 ya
乾	十乙 na
予	予 iv
亏	二ㄅ ma
亓	二 mp
井	井 qj
亡	亡 fw
亨	了 gr
亵	衣丶 ti
今	亽 ja
俜	亻ㄅ ja
俭	亻一 jf
偃	亻女 jb
僇	亻彡 je
儇	亻 jt
儳	亻兔 jw
兜	白儿 up
再	一土 fg
冢	冖丶 wi
凡	几丶 oi
凶	㐅凵 bm
凼	水凵 km
利	禾刂 xp
剿	巛刂 op
助	且力 fs
匐	勹田 nq
卅	卅 ls
卉	十廾 nl
卓	⺊十 yn
卫	一 zf
卬	卩 bz
卺	乛⺋ az
压	厂丶 xi
厖	厂彡 xe
厣	厂甲 xs
厾	⺄厶 ak
县	且厶 fk
叉	又丶 ri
取	耳又 qr
司	㇆口 ad
哀	衣口 td
啄	口丶 di
喙	口 dj
嘁	口小 dy
嘴	口用 dt
噱	口豕 dj
嚷	口一 df
囟	丿乂 tb
囱	丿夂 th
圜	囗 rt
堰	土女 gb
壤	土一 gf
壬	㇒士 tg
夏	一夊 fh
夬	人 nj
夷	大弓 mb
夹	夫丷 hh
奔	大廾 ml
奥	丿大 tm
娉	女ㄅ ba
嫪	女彡 be
嬛	女 bt
孅	女一 bf
孰	丶 gi
官	宀㠯 wk
寥	宀彡 we
寰	宀 wt
射	身寸 zk
尕	乃小 vy
尘	小土 yg
尤	尤 oy
尨	尤彡 oe
尺	尸㇏ ci
岙	丿山 tv
岳	山 tv
崄	山一 vf
巉	山兔 vw
平	干丷 eh
并	䒑廾 hl
幼	幺力 is
庸	广 xt
廖	广彡 xe
弁	厶廾 kl
异	巳廾 vl
弄	王廾 nl
弇	亼廾 jl
弊	㡀廾 fl
弯	亠弓 zb
归	リ彐 pb
彔	彑氺 bk
彬	木彡 ee
彭	彡 he
必	心丿 ht
忝	一⺗ fh
恭	龷⺗ lh
悲	非心 rh
惠	十心 nh
惬	忄丷 hh
愕	忄ㄅ ha
慕	艹⺗ lh
成	戊㇆ na
戕	爿戈 ap
戚	戊小 ny
戛	一戈 fp
抃	扌卜 uy
拔	扌丶 ui
拳	丷手 hu
挖	扌乙 ua
挛	亠手 zu
捡	扌一 uf
掭	扌⺗ uh
掾	扌 uj
揠	扌女 ub
搴	宀手 wu
携	扌乃 uv
摩	麻手 zu
摹	艹手 lu
撬	扌毛 uv
擐	扌 ut
擘	尸手 cu
攘	扌一 uf
收	丩攵 ih
敕	束攵 xh
整	束止 xs
斝	口斗 dj
斡	十斗 nj
斧	八斤 ht
斩	斤 yt
斶	斤虫 tc
旬	勹日 no
旭	九日 ko
昪	日廾 ol
晋	一日 fo
曦	日戈 op
曩	日一 of
曳	曰丿 ot
本	木一 ef
杂	九木 ke
束	束 xs
来	未丷 ah
桌	⺊木 ye
梵	木丶 ei
检	木一 ef
棽	木 ea
椽	木 ej
槭	木小 ey
樗	木ㄅ ea
橇	木毛 ev
橐	十木 ne
欣	斤欠 te
武	一止 fs
每	𠂉母 ek
毐	士毋 gk
毪	毛牛 vq
毫	毛 gv
氅	尚毛 sv
氍	目毛 qv
水	水 ks
沔	氵㇆ ka
洚	氵㐄 kv
涄	氵ㄅ ka
涿	氵丶 ki
淠	氵丌 kl
添	氵⺗ kh
渊	氵米 kp
渰	氵廾 kl
渺	氵丿 kt
溷	氵豕 kj
漻	氵彡 ke
澧	氵豆 kz
澴	氵 kt
澽	氵豕 kj
煭	巛灬 oc
牒	片木 ae
牻	牜彡 qe
猃	犭一 mf
班	王王 nn
琢	王丶 ni
瑑	王 nj
璆	王彡 ne
璩	王豕 nj
瓣	辛 nn
瓤	衣瓜 ty
甄	覀瓦 vr
甓	尸瓦 cr
甗	虍瓦 zr
甦	一生 fl
由	由 dy
甲	甲 sj
申	日丨 og
甸	勹田 nq
甾	巛田 oq
畿	幺田 iq
疋	疋 ts
痹	疒丌 al
瘃	疒丶 ai
瘳	疒彡 ae
癸	癶大 hm
盉	禾皿 xa
眄	目㇆ qa
看	龵目 uq
睑	目一 qf
睾	丿 tg
睿	目 gq
示	示 fs
祓	礻丶 fi
禳	礻一 ff
禺	田⽱ qv
禾	禾 xh
稻	禾臼 xp
究	穴九 ek
穹	穴弓 eb
穿	穴牙 el
窀	穴 es
窊	穴瓜 ey
窍	穴ㄅ ea
窕	穴 ew
窜	穴丨 eg
窳	穴瓜 ey
笸	⺮口 rd
签	⺮一 rf
箅	⺮丌 rl
篆	⺮ rj
粼	米巜 po
繄	匸糸 ni
绂	纟丶 ii
继	纟㇗ ia
缘	纟 ij
缪	纟彡 ie
缳	纟 it
羼	尸羊 cg
羿	羽廾 zl
翳	匸羽 nz
耄	老毛 qv
耽	耳 qp
肄	匕聿 vb
肇	户聿 mb
胥	疋⺝ tv
脸	月一 vf
腭	月ㄅ va
臧	臣 nq
至	至 yi
舁	臼廾 pl
舒	人予 ji
舔	舌⺗ ah
艴	弗巴 tm
苄	艹卜 ly
莶	艹一 lf
萼	艹ㄅ la
蒙	艹豕 lj
蒱	艹甫 ln
蓥	艹金 lz
蓼	艹彡 le
蔼	艹亾 lf
蕺	艹戈 lp
薤	艹一 lf
藏	艹臣 lq
虑	虍心 zh
虱	⺄虫 ac
虺	一虫 fc
蚩	屮虫 sc
蛋	疋虫 tc
蠡	彑虫 bc
蠹	十虫 nc
血	丿皿 ta
行	行 px
衍	行氵 pk
衎	行干 pe
衒	行幺 pi
衔	行钅 pz
街	行土 pg
衙	行口 pd
衠	行 ph
衡	行𩵋 pw
衷	衣丨 tg
袤	衣丿 tt
裒	衣臼 tp
裣	衤一 tf
裹	衣木 te
褒	衣木 te
襄	衣一 tf
襕	衤丷 th
訇	勹言 ns
诼	讠丶 si
谬	讠彡 se
豢	丷豕 hj
豪	豕 gj
貌	豸儿 mp
质	⺁贝 xo
贯	毌贝 ko
费	弗贝 to
跋	⻊丶 pi
辄	㇗ ya
辨	辛 nn
迅	⺄辶 au
逼	一辶 fu
遐	辶 cu
遘	辶 qu
遽	虍辶 zu
邈	豸辶 mu
邕	巛巴 om
邪	牙阝 lt
郾	匸阝 nt
酋	丷酉 hy
醪	酉彡 ye
醴	酉豆 yz
醵	酉豕 yj
釉	丿由 td
野	里予 di
金	金 zj
鍪	予金 iz
鏊	龶金 az
鏖	鹿金 xz
鐾	尸金 cz
钷	钅口 zd
锷	钅ㄅ za
镠	钅彡 ze
镮	钅 zt
镶	钅一 zf
陋	阝㇗ ta
降	阝㐄 tv
险	阝一 tf
隳	阝⺗ th
隽	隹乃 uv
霭	⻗亾 tf
靳	革斤 tt
韩	十韦 ng
韪	日韦 og
须	彡页 ew
颀	斤页 tw
馥	禾夊 xh
骋	马ㄅ na
验	马一 nf
骧	马一 nf
髎	骨彡 fe
髡	镸儿 pp
魃	鬼丶 ai
鲅	鱼丶 wi
鳄	鱼ㄅ wa
鳢	鱼豆 wz
鸦	牙鸟 lx
黍	禾氺 xk
黎	禾氺 xk
黏	禾口 xd
黧	禾黑 xp
黹	业㡀 cf
鼒	 na
鼠	鼠 ps
鼻	自丌 ol
东	小 ry
乍	乍 wa
乖	千匕 lv
乘	禾匕 xv
云	云 by
交	六乂 ab
亥	亥 kh
享	子 gh
亭	丁 ga
亮	几 go
亳	七 gr
亸	十 gn
仰	亻卩 jz
佩	亻巾 jr
侂	亻七 jr
侔	亻牛 jq
俊	亻夊 jh
俎	人且 jf
俞	亼刂 jp
俟	亻矢 jo
俺	亻乚 ja
倍	亻口 jd
假	亻又 jr
傅	亻寸 jk
傲	亻攵 jh
僚	亻小 jy
僭	亻曰 jo
僻	亻辛 jn
儋	亻言 js
儡	亻田 jq
儦	亻灬 jc
元	二儿 mp
先	⺧儿 qp
光	光 mg
克	古儿 cp
兑	丷儿 hp
兖	六儿 ap
兢	古儿 cp
公	八厶 hk
兰	丷三 ht
共	龷八 lh
关	䒑大 hm
兴	⺍ kh
兹	䒑幺 hi
兽	丷口 hd
冀	八 ah
内	冂人 mj
冉	冂土 mg
册	册 ic
冥	冖六 wa
决	冫人 wj
凌	冫夊 wh
凛	冫示 wf
凯	山几 vo
出	屮凵 sm
刀	刀 pd
分	八刀 hp
切	七刀 rp
划	戈刂 pp
刖	月刂 vp
刘	文刂 vp
则	贝刂 op
券	丷刀 hp
剀	山刂 vp
前	䒑刂 hp
剐	口刂 dp
剑	亼刂 jp
剖	立刂 ip
剟	又刂 rp
劂	厂刂 xp
劈	尸刀 cp
劐	艹刂 lp
劝	又力 rs
功	工力 us
加	力口 sd
动	云力 bs
劳	艹力 ls
勃	十力 ns
勒	革力 ts
募	艹力 ls
勰	力心 sh
匏	大巳 mv
匙	日匕 ov
卒	亠十 zn
南	十 ng
博	十寸 nk
卷	丷⺋ hz
厌	厂犬 xm
厥	厂欠 xe
又	又 ry
友	𠂇又 nr
受	爫又 yr
变	亠又 zr
叟	臼又 pr
召	刀口 pd
史	口 db
右	𠂇口 nd
吉	士口 gd
吒	口七 dr
吝	文口 vd
含	亽口 jd
启	户口 md
吾	五口 wd
告	⺧口 qd
周	⺆口 md
咒	口几 do
哉	十口 nd
哌	口 dt
哞	口牛 dq
哭	口犬 dm
哱	口子 dh
唆	口夊 dh
唇	辰口 fd
唉	口矢 do
售	隹口 ud
唵	口乚 da
啕	口缶 da
啜	口又 dr
喇	口刂 dp
喋	口木 de
喾	⺍口 kd
嗍	口月 dv
嗑	口皿 da
嗒	口口 dd
嗖	口又 dr
嗜	口日 do
嗣	口口 dd
嗥	口十 dn
嗷	口攵 dh
嗽	口欠 de
嘀	口古 dc
嘹	口小 dy
噘	口欠 de
器	口口 dd
噬	口人 dj
噼	口辛 dn
嚄	口又 dr
嚆	口高 dg
嚚	口口 dd
嚣	口口 dd
嚼	口寸 dk
四	四 ys
圣	又土 rg
在	𠂇土 ng
块	土人 gj
坰	土口 gd
垄	龙土 tg
垒	厶土 kg
垦	艮土 ig
垲	土己 gv
埃	土矢 go
埒	土寸 gk
埚	土人 gj
埠	土十 gn
埯	土乚 ga
培	口 gd
埽	土巾 gr
堕	阝土 tg
堙	土土 gg
堞	土木 ge
堲	土 ig
堽	土止 gs
塑	䒑土 hg
塔	土口 gd
塞	宀土 wg
墓	艹土 lg
壁	尸土 cg
夐	⺈夊 xh
够	句夕 gl
夫	夫 hf
夺	大寸 mk
奠	丷大 hm
女	女 bn
妾	立女 ib
姜	⺷女 gb
娄	米女 pb
娟	女⺝ bv
娲	女人 bj
婴	贝女 ob
婺	予女 ib
媾	女土 bg
嫂	女又 br
嫕	女心 bh
嫠	未女 ab
嫡	女古 bc
嫩	女攵 bh
嫽	女小 by
嬖	尸女 cb
嬴	亡丶 fi
子	子 hi
存	𠂇子 nh
孚	爫子 yh
孛	十子 nh
孜	子攵 hh
孝	耂子 qh
孟	子皿 ha
学	⺍子 kh
孪	亠子 zh
孱	尸子 ch
孽	艹子 lh
宅	宀七 wr
宏	宀厶 wk
宛	宀⺋ wz
密	宀山 wv
寇	宀攴 wh
富	宀田 wq
寨	宀木 we
寮	宀小 wy
对	又寸 rk
寺	土寸 gk
寻	彐寸 bk
导	巳寸 vk
尊	丷寸 hk
尔	小 xy
尝	龸云 sb
尧	儿 pp
屣	尸龰 cs
峃	⺍山 kv
峦	亠山 zv
峱	犭山 mv
峻	山夊 vh
崦	山乚 va
嶍	山白 vu
巇	山戈 vp
左	𠂇工 nu
巫	工人 uj
己	己 vj
已	已 vi
巳	巳 vs
巷	龷巳 lv
巽	巳八 vh
布	𠂇巾 nr
帚	彐巾 br
帛	白巾 ur
带	巾 lr
席	广巾 xr
幂	冖巾 wr
幅	巾田 rq
幕	艹巾 lr
年	𠂉 ev
床	广木 xe
庵	广乚 xa
廒	广攵 xh
廿	廿 ln
弃	廾 bl
式	弋工 pu
弑	㐅工 bu
彀	士殳 gr
彗	丰彐 ab
彟	彐又 br
徙	彳龰 ws
徼	彳攵 wh
忌	己心 vh
忒	弋心 ph
志	士心 gh
快	忄人 hj
忱	忄 hp
思	田心 qh
怠	厶心 kh
急	⺈心 xh
怨	夕心 lh
总	丷心 hh
恋	亠心 zh
恙	⺷心 gh
息	自心 oh
恳	艮心 ih
恺	忄己 hv
悉	丿心 th
悒	忄巴 hm
悖	忄子 hh
悛	忄夊 hh
悠	亻心 jh
悯	忄文 hv
惙	忄又 hr
惹	艹心 lh
意	音心 xh
愠	忄皿 ha
慧	丰心 ah
憋	㡀心 fh
憭	忄小 hy
憺	忄言 hs
懵	忄目 hq
懿	士心 gh
戆	音心 xh
戋	一戈 fp
戟	十戈 np
戣	癶戈 hp
戮	羽戈 zp
戳	羽戈 zp
戴	十八 nh
户	户 mh
扇	户羽 mz
扈	户巴 mm
